id,binsize,name,file_path,value_type,collection_id,intervals_id,file_path_feature_values,cluster_id_path,feature_distribution_path,thumbnail_path,normalization,cluster_number,dataset_id
20058,200000,d679f1a74d344722a4ed6a09c7511430_embedding.npy,/code/temp/d679f1a74d344722a4ed6a09c7511430_embedding.npy,1d-embedding,81,1566,/code/temp/926f221238ac4c75ae5d4bc0186fbb72_features.npy,/code/temp/2c5b7e52820c4f67b259a1ef77d3b1cc_cluster_ids_small.npy,NULL,/code/temp/e30366634a094e22b7b566439b30efd2_average_values_small.npy,NULL,small,NULL
20059,200000,d679f1a74d344722a4ed6a09c7511430_embedding.npy,/code/temp/d679f1a74d344722a4ed6a09c7511430_embedding.npy,1d-embedding,81,1566,/code/temp/926f221238ac4c75ae5d4bc0186fbb72_features.npy,/code/temp/f597df7206204910b3bcbce195194858_cluster_ids_large.npy,NULL,/code/temp/2aed344d22a244f2a067fc60b434c034_average_values_large.npy,NULL,large,NULL
20060,100000,41ec0a4824e242c8bce5423f56fc8407_embedding.npy,/code/temp/41ec0a4824e242c8bce5423f56fc8407_embedding.npy,1d-embedding,81,1566,/code/temp/636946e8de134036a973f9891bd969ea_features.npy,/code/temp/42b711c5573a41faaf0dc7a93a14059b_cluster_ids_small.npy,NULL,/code/temp/a51770d9a9c74a1aa7552be693aed2d1_average_values_small.npy,NULL,small,NULL
20061,100000,41ec0a4824e242c8bce5423f56fc8407_embedding.npy,/code/temp/41ec0a4824e242c8bce5423f56fc8407_embedding.npy,1d-embedding,81,1566,/code/temp/636946e8de134036a973f9891bd969ea_features.npy,/code/temp/6d6fc9740c16470ea97329ef29f6b4a6_cluster_ids_large.npy,NULL,/code/temp/3eb8cfad7a044749abcace5223a9447a_average_values_large.npy,NULL,large,NULL
20174,50000,ebdf3a0495a84dd49f10952704374293_embedding.npy,/code/temp/ebdf3a0495a84dd49f10952704374293_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/30604febe9354b158b46ebacd5d81977_cluster_ids_small.npy,NULL,/code/temp/94e1fcf8acd84a879c3a3a81bd644fb6_thumbnails_small.npy,ICCF,small,477
20175,50000,ebdf3a0495a84dd49f10952704374293_embedding.npy,/code/temp/ebdf3a0495a84dd49f10952704374293_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/a0acd780d00c449ca1a4bdc27bcb67eb_cluster_ids_large.npy,NULL,/code/temp/6f598b73bc4e45cdab15d59b7ea82d79_thumbnails_large.npy,ICCF,large,477
20176,50000,e2452b64cba846c895cad825b1bd1e2b_embedding.npy,/code/temp/e2452b64cba846c895cad825b1bd1e2b_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/f00eb2e75f07431482090f9fa57ddffd_cluster_ids_small.npy,NULL,/code/temp/01e3e2ffdd274d23a039372e47641e2b_thumbnails_small.npy,Obs/Exp,small,477
20177,50000,e2452b64cba846c895cad825b1bd1e2b_embedding.npy,/code/temp/e2452b64cba846c895cad825b1bd1e2b_embedding.npy,2d-embedding,NULL,1566,NULL,/code/temp/d3c5525376b4479389fcdd6d25c7b6af_cluster_ids_large.npy,NULL,/code/temp/85b2cc3c14064548abf0044e65c25268_thumbnails_large.npy,Obs/Exp,large,477
19906,5000,266eb1407f804c57ae2081c176b972ba_embedding.npy,/code/temp/266eb1407f804c57ae2081c176b972ba_embedding.npy,2d-embedding,NULL,1567,NULL,/code/temp/7cf5a2c25df3492b94bdd3d5994b6f28_cluster_ids_small.npy,NULL,/code/temp/01de441f88cb49db877340517588fcc8_thumbnails_small.npy,ICCF,small,146
19907,5000,266eb1407f804c57ae2081c176b972ba_embedding.npy,/code/temp/266eb1407f804c57ae2081c176b972ba_embedding.npy,2d-embedding,NULL,1567,NULL,/code/temp/6ba12f5a60cd48d2b87822619fd236b1_cluster_ids_large.npy,NULL,/code/temp/19d23cb6ea7448419df7b5ee8e93c5b6_thumbnails_large.npy,ICCF,large,146
19912,5000,52121ca338184a2b999981e7c6580970_embedding.npy,/code/temp/52121ca338184a2b999981e7c6580970_embedding.npy,2d-embedding,NULL,1567,NULL,/code/temp/0b65860b009349ce9e930613c0d600bb_cluster_ids_small.npy,NULL,/code/temp/9f833935b2064d339d1b1d14ed23a758_thumbnails_small.npy,Obs/Exp,small,146
19913,5000,52121ca338184a2b999981e7c6580970_embedding.npy,/code/temp/52121ca338184a2b999981e7c6580970_embedding.npy,2d-embedding,NULL,1567,NULL,/code/temp/4117782ca1324d359382119fb9ee5d8f_cluster_ids_large.npy,NULL,/code/temp/1cf3ed7a24fc4d1c896dc6f9af0b68a2_thumbnails_large.npy,Obs/Exp,large,146
