id,binsize,name,file_path,value_type,dataset_id,intervals_id
79145,5000,0a6778dc7f9c488d92660db35a8c3659_line.npy,/code/temp/0a6778dc7f9c488d92660db35a8c3659_line.npy,line,571,1564
79151,10000,4e4d6c89c6934795a62683b72dc375dd_line.npy,/code/temp/4e4d6c89c6934795a62683b72dc375dd_line.npy,line,571,1564
79206,20000,9ff5602ba51542809359f57396a40915_line.npy,/code/temp/9ff5602ba51542809359f57396a40915_line.npy,line,573,1564
79210,10000,92eac4d5135c42f0a096bec5799ea245_line.npy,/code/temp/92eac4d5135c42f0a096bec5799ea245_line.npy,line,573,1564
79213,5000,3b49ee10ba564caeb18de398c4984213_line.npy,/code/temp/3b49ee10ba564caeb18de398c4984213_line.npy,line,573,1564
75553,20000,539bd9babd8b41bcbf938a2c9b20ef5c.npy,/code/temp/539bd9babd8b41bcbf938a2c9b20ef5c.npy,ICCF,146,1565
75555,20000,272506beb6634ed2b05ceabffa8cd4f5.npy,/code/temp/272506beb6634ed2b05ceabffa8cd4f5.npy,Obs/Exp,146,1565
75710,20000,cb5b25ea31a44fe180948f09174c0858_line.npy,/code/temp/cb5b25ea31a44fe180948f09174c0858_line.npy,line,10,1565
75712,50000,b4cc780f0ccf4885b5ae36cf04d6c8bc_line.npy,/code/temp/b4cc780f0ccf4885b5ae36cf04d6c8bc_line.npy,line,10,1565
75716,20000,122414a325134421969bed67dfbdca8d_line.npy,/code/temp/122414a325134421969bed67dfbdca8d_line.npy,line,11,1565
75717,50000,415c42a3ca6a428e84af135f4fddf69d_line.npy,/code/temp/415c42a3ca6a428e84af135f4fddf69d_line.npy,line,11,1565
75719,50000,5be4750909164ed78c5c466c3b46b430_line.npy,/code/temp/5be4750909164ed78c5c466c3b46b430_line.npy,line,18,1565
75720,50000,f536dce1b9714b929e383057dbc499c9_line.npy,/code/temp/f536dce1b9714b929e383057dbc499c9_line.npy,line,319,1565
75721,20000,4e78e8ee7cba4161bdc12af0b35b23b6_line.npy,/code/temp/4e78e8ee7cba4161bdc12af0b35b23b6_line.npy,line,319,1565
75722,20000,ce1699a8d4a041ea998516b9bb70020b_line.npy,/code/temp/ce1699a8d4a041ea998516b9bb70020b_line.npy,line,18,1565
75723,50000,99d12541b1914431b423725f89b7d946_line.npy,/code/temp/99d12541b1914431b423725f89b7d946_line.npy,line,163,1565
75725,50000,0b002124c698422a976fbcbec4a0e07f_line.npy,/code/temp/0b002124c698422a976fbcbec4a0e07f_line.npy,line,320,1565
75727,20000,23f1698103a84b248b983b41236d48a9_line.npy,/code/temp/23f1698103a84b248b983b41236d48a9_line.npy,line,163,1565
75728,20000,b559ebdee13e4d4a817c3c232752959e_line.npy,/code/temp/b559ebdee13e4d4a817c3c232752959e_line.npy,line,320,1565
75730,50000,7e70f22add414067a7935e4e1e12b67a_line.npy,/code/temp/7e70f22add414067a7935e4e1e12b67a_line.npy,line,165,1565
75732,50000,802f2256fcbc44a99eb51746f1853f38_line.npy,/code/temp/802f2256fcbc44a99eb51746f1853f38_line.npy,line,460,1565
75734,50000,fa63b689a1b34611b08c912746b20c01_line.npy,/code/temp/fa63b689a1b34611b08c912746b20c01_line.npy,line,461,1565
75737,50000,c590dfac75524db6be6fa4d2f77fc2bf_line.npy,/code/temp/c590dfac75524db6be6fa4d2f77fc2bf_line.npy,line,462,1565
75740,50000,82725bdded9d460aa92b466cc56aa286_line.npy,/code/temp/82725bdded9d460aa92b466cc56aa286_line.npy,line,466,1565
75744,50000,2b971163d34547d19c69b88a49b95013_line.npy,/code/temp/2b971163d34547d19c69b88a49b95013_line.npy,line,467,1565
75751,20000,2a993d905cf845a593e977d93c4e6aee_line.npy,/code/temp/2a993d905cf845a593e977d93c4e6aee_line.npy,line,165,1565
75754,20000,30e4b5bbe72d4815a9e55732cbd03088_line.npy,/code/temp/30e4b5bbe72d4815a9e55732cbd03088_line.npy,line,460,1565
75756,100000,ce43bfc0b95344f887e8a4dfaf6367cd_line.npy,/code/temp/ce43bfc0b95344f887e8a4dfaf6367cd_line.npy,line,319,1565
75757,100000,ecf75000010140ff9822f9d8ebf55e4c_line.npy,/code/temp/ecf75000010140ff9822f9d8ebf55e4c_line.npy,line,320,1565
75758,20000,1c787712ed40491aac8c4642b2b266c4_line.npy,/code/temp/1c787712ed40491aac8c4642b2b266c4_line.npy,line,461,1565
75759,20000,36595b49f5d84bbf9eaaff25ec6283a0_line.npy,/code/temp/36595b49f5d84bbf9eaaff25ec6283a0_line.npy,line,462,1565
75760,20000,09acdf2e70ab4ee7a39058d32f04ea21_line.npy,/code/temp/09acdf2e70ab4ee7a39058d32f04ea21_line.npy,line,466,1565
75761,100000,dcc743deb3074c32a256f4d79e3af09d_line.npy,/code/temp/dcc743deb3074c32a256f4d79e3af09d_line.npy,line,10,1565
