id,binsize,name,file_path,file_path_small,dataset_id,intervals_id
27985,5000,2790efbec1cd45a6a09d19036fea0eaf.npy,/code/temp/2790efbec1cd45a6a09d19036fea0eaf.npy,/code/temp/2790efbec1cd45a6a09d19036fea0eaf_small.npy,163,1563
27988,5000,0e0b88b2f8a448549f96aabf78bfcefd.npy,/code/temp/0e0b88b2f8a448549f96aabf78bfcefd.npy,/code/temp/0e0b88b2f8a448549f96aabf78bfcefd_small.npy,320,1563
27989,2000,a29b3a4a9bde4694a3a1c269fa60b9d9.npy,/code/temp/a29b3a4a9bde4694a3a1c269fa60b9d9.npy,/code/temp/a29b3a4a9bde4694a3a1c269fa60b9d9_small.npy,163,1563
27993,2000,ddd77a2aa2c045e0a3738c9000650b56.npy,/code/temp/ddd77a2aa2c045e0a3738c9000650b56.npy,/code/temp/ddd77a2aa2c045e0a3738c9000650b56_small.npy,319,1563
27995,10000,085cd6e096c14e1a80f8a1b0ef5def5e.npy,/code/temp/085cd6e096c14e1a80f8a1b0ef5def5e.npy,/code/temp/085cd6e096c14e1a80f8a1b0ef5def5e_small.npy,165,1563
27997,5000,357a159170b74cd493a096abe879397d.npy,/code/temp/357a159170b74cd493a096abe879397d.npy,/code/temp/357a159170b74cd493a096abe879397d_small.npy,165,1563
27998,2000,e6ead0812f764f549ce4fddff3b041b9.npy,/code/temp/e6ead0812f764f549ce4fddff3b041b9.npy,/code/temp/e6ead0812f764f549ce4fddff3b041b9_small.npy,320,1563
27999,10000,2ff09ce2005e4c4fbdf9ddc3c59d46eb.npy,/code/temp/2ff09ce2005e4c4fbdf9ddc3c59d46eb.npy,/code/temp/2ff09ce2005e4c4fbdf9ddc3c59d46eb_small.npy,460,1563
28001,2000,a780ec020516443582736058da3a85c0.npy,/code/temp/a780ec020516443582736058da3a85c0.npy,/code/temp/a780ec020516443582736058da3a85c0_small.npy,165,1563
28003,10000,538bf291f9f24b7ab867f6e9894001a8.npy,/code/temp/538bf291f9f24b7ab867f6e9894001a8.npy,/code/temp/538bf291f9f24b7ab867f6e9894001a8_small.npy,461,1563
28004,5000,d1d9bcca50914ab2b1f0f7ee6851384c.npy,/code/temp/d1d9bcca50914ab2b1f0f7ee6851384c.npy,/code/temp/d1d9bcca50914ab2b1f0f7ee6851384c_small.npy,460,1563
28005,2000,8d7a170f698149509f04df47925e0be1.npy,/code/temp/8d7a170f698149509f04df47925e0be1.npy,/code/temp/8d7a170f698149509f04df47925e0be1_small.npy,460,1563
28007,10000,e3b6d0db989d4b829aaf82280c06f6de.npy,/code/temp/e3b6d0db989d4b829aaf82280c06f6de.npy,/code/temp/e3b6d0db989d4b829aaf82280c06f6de_small.npy,462,1563
28009,5000,3f5a1105877f454599db8041a935339b.npy,/code/temp/3f5a1105877f454599db8041a935339b.npy,/code/temp/3f5a1105877f454599db8041a935339b_small.npy,461,1563
28010,2000,69bb57331cc74596812ed15b07a419f9.npy,/code/temp/69bb57331cc74596812ed15b07a419f9.npy,/code/temp/69bb57331cc74596812ed15b07a419f9_small.npy,461,1563
28011,10000,1696bed2c4c7415c895a09b8ac2c22ac.npy,/code/temp/1696bed2c4c7415c895a09b8ac2c22ac.npy,/code/temp/1696bed2c4c7415c895a09b8ac2c22ac_small.npy,466,1563
28013,5000,e7da8b14cede40db8b137b3134d8792f.npy,/code/temp/e7da8b14cede40db8b137b3134d8792f.npy,/code/temp/e7da8b14cede40db8b137b3134d8792f_small.npy,462,1563
28014,10000,b734b81560034bf184eae603e0d7c1cd.npy,/code/temp/b734b81560034bf184eae603e0d7c1cd.npy,/code/temp/b734b81560034bf184eae603e0d7c1cd_small.npy,467,1563
28015,2000,280bff772cf44807b20fb34025331d04.npy,/code/temp/280bff772cf44807b20fb34025331d04.npy,/code/temp/280bff772cf44807b20fb34025331d04_small.npy,462,1563
28018,5000,bb68f3dfcc434110994519e5103e4aa2.npy,/code/temp/bb68f3dfcc434110994519e5103e4aa2.npy,/code/temp/bb68f3dfcc434110994519e5103e4aa2_small.npy,466,1563
28019,2000,c04f0f04f93e4866a2abd00b13b18909.npy,/code/temp/c04f0f04f93e4866a2abd00b13b18909.npy,/code/temp/c04f0f04f93e4866a2abd00b13b18909_small.npy,466,1563
28020,5000,16891fb2fa284f02a9e6e14f50d17568.npy,/code/temp/16891fb2fa284f02a9e6e14f50d17568.npy,/code/temp/16891fb2fa284f02a9e6e14f50d17568_small.npy,467,1563
28022,2000,862d92ce8f0241dc86d5cac099b70744.npy,/code/temp/862d92ce8f0241dc86d5cac099b70744.npy,/code/temp/862d92ce8f0241dc86d5cac099b70744_small.npy,467,1563
31165,5000,a0646033de2347ca9b6f65ffa9eedd1f.npy,/code/temp/a0646033de2347ca9b6f65ffa9eedd1f.npy,/code/temp/a0646033de2347ca9b6f65ffa9eedd1f_small.npy,571,1563
31167,10000,c7083b7189584693a9f3ae24aac8a383.npy,/code/temp/c7083b7189584693a9f3ae24aac8a383.npy,/code/temp/c7083b7189584693a9f3ae24aac8a383_small.npy,571,1563
31174,2000,074f151c4f974650854d207199f74d80.npy,/code/temp/074f151c4f974650854d207199f74d80.npy,/code/temp/074f151c4f974650854d207199f74d80_small.npy,571,1563
31235,10000,2240c4adb63d413f9012a6a56c6c6a07.npy,/code/temp/2240c4adb63d413f9012a6a56c6c6a07.npy,/code/temp/2240c4adb63d413f9012a6a56c6c6a07_small.npy,573,1563
31238,5000,081197313aba42e7ae3078d20b1d4881.npy,/code/temp/081197313aba42e7ae3078d20b1d4881.npy,/code/temp/081197313aba42e7ae3078d20b1d4881_small.npy,573,1563
31239,2000,512c054fb1d446e0b1e21ad2ad434995.npy,/code/temp/512c054fb1d446e0b1e21ad2ad434995.npy,/code/temp/512c054fb1d446e0b1e21ad2ad434995_small.npy,573,1563
28028,5000,9f6dc14f635b429e91d0549ed8ee5821.npy,/code/temp/9f6dc14f635b429e91d0549ed8ee5821.npy,/code/temp/9f6dc14f635b429e91d0549ed8ee5821_small.npy,319,1564
28029,5000,3e8c5be8661444668d44fb6458811cd0.npy,/code/temp/3e8c5be8661444668d44fb6458811cd0.npy,/code/temp/3e8c5be8661444668d44fb6458811cd0_small.npy,10,1564
28030,5000,9cce9fb4be2e483a993e4813ccb5d195.npy,/code/temp/9cce9fb4be2e483a993e4813ccb5d195.npy,/code/temp/9cce9fb4be2e483a993e4813ccb5d195_small.npy,320,1564
28031,10000,ea6ff7510d3c4dc595a1f55a3eab5088.npy,/code/temp/ea6ff7510d3c4dc595a1f55a3eab5088.npy,/code/temp/ea6ff7510d3c4dc595a1f55a3eab5088_small.npy,10,1564
28033,5000,06c5ca4ff6b24967a5e773c598a00d8e.npy,/code/temp/06c5ca4ff6b24967a5e773c598a00d8e.npy,/code/temp/06c5ca4ff6b24967a5e773c598a00d8e_small.npy,11,1564
28035,10000,4d78093d2a34482696fe90c2c31d0daa.npy,/code/temp/4d78093d2a34482696fe90c2c31d0daa.npy,/code/temp/4d78093d2a34482696fe90c2c31d0daa_small.npy,11,1564
28037,5000,812f5eb6044f41ecb6f0a254a49c12c3.npy,/code/temp/812f5eb6044f41ecb6f0a254a49c12c3.npy,/code/temp/812f5eb6044f41ecb6f0a254a49c12c3_small.npy,18,1564
28040,10000,3151f625251543bfa3a7549b80572a1d.npy,/code/temp/3151f625251543bfa3a7549b80572a1d.npy,/code/temp/3151f625251543bfa3a7549b80572a1d_small.npy,18,1564
28042,10000,10bfe20e6c1f468189f9c2f54a639e21.npy,/code/temp/10bfe20e6c1f468189f9c2f54a639e21.npy,/code/temp/10bfe20e6c1f468189f9c2f54a639e21_small.npy,319,1564
